GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab03-translator-Andres20-Utec,cs.Lab3,Main,4,9,0,0,2,3,2,1,2,1
lab03-translator-Andres20-Utec,cs.Lab3,Translator,17,121,5,7,3,38,5,4,0,3
